fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
John Alessio,35,17,0,0,61,155,72,Orthodox,1979-07-05,41,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2
Houston Alexander,17,15,1,0,72,205,72,Orthodox,1972-03-22,48,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
Marcio Alexandre Junior,17,4,0,1,72,185,75,Southpaw,1989-05-05,31,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
Bill Algeo,14,5,0,1,72,145,73,Switch,1989-06-09,31,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0
Sultan Aliev,15,3,0,1,61,170,74,Orthodox,1984-09-17,36,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0
John Allan,13,6,0,0,73,205,75,Orthodox,1993-02-22,28,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2
Arnold Allen,16,1,0,7,68,145,70,Southpaw,1994-01-22,27,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5
Brendan Allen,15,4,0,0,74,185,75,Orthodox,1995-12-28,25,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0
Ben Alloway,18,8,0,0,61,170,76,Orthodox,1981-02-19,40,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0
Ricardo Almeida,13,5,0,0,72,170,74,Orthodox,1976-11-29,44,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
Thomas Almeida,22,4,0,0,67,145,70,Southpaw,1991-07-31,29,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0
Sarah Alpar,9,5,0,0,64,135,63,Southpaw,1991-06-01,29,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7
Ali AlQaisi,8,5,0,0,66,135,68,Orthodox,1990-09-23,30,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0
Eddie Alvarez,29,6,0,0,69,155,69,Orthodox,1984-01-11,37,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
Jaime Alvarez,6,1,0,1,68,125,69,Orthodox,1988-03-08,32,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0
Joel Alvarez,18,2,0,3,75,155,77,Orthodox,1994-03-02,26,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6
Thiago Alves,23,15,0,0,69,170,70,Orthodox,1983-10-03,37,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3
Warlley Alves,15,4,0,1,61,170,72,Orthodox,1991-01-04,30,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0
Rafael Alves,19,9,0,1,68,145,68,Orthodox,1990-10-10,30,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9
Sam Alvey,33,14,1,0,74,205,75,Southpaw,1986-05-06,34,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1
Adlan Amagov,14,2,1,3,74,170,76,Orthodox,1986-10-30,34,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0
Alen Amedovski,8,2,0,0,61,185,74,Orthodox,1988-04-06,32,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0
Makwan Amirkhani,16,5,0,0,61,145,72,Southpaw,1988-11-08,32,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4
Eryk Anders,13,5,0,0,73,185,75,Southpaw,1987-04-21,33,3.02,0.45,4.18,0.51,1.34,0.34,0.8,0.1
Corey Anderson,14,5,0,0,75,205,79,Orthodox,1989-09-22,31,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0
Megan Anderson,11,4,0,2,72,145,72,Orthodox,1990-02-11,31,1.82,0.46,2.94,0.38,0.56,0.33,0.53,0.6
Jessica Andrade,21,8,0,1,61,115,62,Orthodox,1991-09-25,29,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4
Viscardi Andrade,19,6,0,2,61,170,75,Orthodox,1984-03-08,36,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
Dylan Andrews,18,7,0,0,73,185,74,Switch,1979-11-15,41,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
Collin Anglin,8,1,0,1,69,145,71,Orthodox,1993-02-20,28,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0
Magomed Ankalaev,14,1,0,5,75,205,75,Orthodox,1992-06-02,28,3.58,0.56,1.36,0.68,0.62,0.33,0.85,0.0
Nina Ansaroff,10,6,0,0,65,115,64,Orthodox,1985-12-03,35,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6
Gadzhimurad Antigulov,20,8,0,0,61,205,70,Orthodox,1987-02-09,34,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4
Adam Antolin,12,3,0,1,65,125,63,Orthodox,1982-02-28,38,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0
Shinsho Anzai,10,3,0,0,67,170,70,Orthodox,1985-12-01,35,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0
Felipe Arantes,18,10,1,0,68,135,73,Orthodox,1988-02-09,33,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
Igor Araujo,25,9,0,0,73,170,77,Orthodox,1980-12-06,40,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
Viviane Araujo,10,2,0,2,64,125,68,Orthodox,1986-11-21,34,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2
Julio Arce,16,4,0,0,67,145,70,Southpaw,1989-10-27,31,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6
Andrei Arlovski,30,20,0,0,75,240,77,Orthodox,1979-02-04,42,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3
Austin Arnett,16,6,0,0,72,145,72,Orthodox,1991-10-22,29,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
Akbarh Arreola,23,11,1,0,61,155,71,Southpaw,1983-01-14,38,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4
Matt Arroyo,3,3,0,0,61,170,72,Orthodox,1982-09-01,38,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
Antonio Arroyo,9,4,0,0,75,185,73,Orthodox,1989-07-01,31,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3
Teddy Ash,14,5,0,0,73,185,73,Switch,1989-12-27,31,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0
Askar Askar,11,1,0,0,67,145,69,Orthodox,1994-08-19,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Askar Askarov,12,0,1,2,66,125,67,Orthodox,1992-10-09,28,3.2,0.52,2.51,0.55,2.0,0.18,0.64,0.0
Cyril Asker,9,4,0,0,72,247,74,Orthodox,1985-12-24,35,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
Scott Askham,14,4,0,0,75,185,75,Southpaw,1988-05-20,32,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
Ben Askren,19,2,0,0,61,170,73,Orthodox,1984-07-18,36,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
Tom Aspinall,10,2,0,3,77,256,78,Orthodox,1993-04-11,27,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8
Junior Assuncao,16,6,0,0,69,145,72,Orthodox,1981-06-24,39,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
Raphael Assuncao,27,8,0,0,65,135,66,Orthodox,1982-07-19,38,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3
Rich Attonito,10,5,0,0,61,170,72,Orthodox,1977-06-16,43,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0
Olivier Aubin-Mercier,11,5,0,0,69,155,70,Southpaw,1989-02-23,32,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5
Marcus Aurelio,22,10,0,0,61,155,74,Orthodox,1973-08-18,47,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
Blas Avena,8,7,0,0,72,170,74,Orthodox,1983-06-30,37,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
Julia Avila,8,2,0,0,67,135,68,Orthodox,1988-05-11,32,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0.0
Jessin Ayari,16,6,0,0,72,155,73,Orthodox,1992-05-31,28,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3
Abu Azaitar,14,1,1,1,69,185,76,Orthodox,1986-03-10,34,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0
Ottman Azaitar,13,0,0,2,68,155,71,Switch,1990-02-20,31,8.43,0.57,1.76,0.67,0.0,0.0,1.0,0.0
Hunter Azure,9,1,0,1,68,145,69,Orthodox,1992-03-02,28,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4
Seth Baczynski,20,14,0,0,75,170,75,Orthodox,1981-10-26,39,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8
Ryan Bader,23,5,0,2,74,205,74,Orthodox,1983-06-07,37,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
Miguel Baeza,10,0,0,4,74,170,74,Orthodox,1992-08-23,28,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2
Ali Bagautinov,15,6,0,0,64,125,65,Orthodox,1985-06-10,35,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3
Melsik Baghdasaryan,5,1,0,1,69,145,70,Southpaw,1992-01-28,29,6.8,0.64,3.8,0.53,0.0,0.0,0.75,0.0
Siyar Bahadurzada,24,8,1,0,61,170,73,Orthodox,1984-04-17,36,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3
Ignacio Bahamondes,11,3,0,1,75,170,75,Orthodox,1997-08-27,23,8.78,0.54,2.66,0.67,0.0,0.0,1.0,0.0
Shamar Bailey,16,11,0,0,69,155,75,Southpaw,1982-09-22,38,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0
Oluwale Bamgbose,6,4,0,0,61,185,78,Switch,1987-08-04,33,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0
Humberto Bandenay,14,7,0,0,61,145,71,Southpaw,1994-09-04,26,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5
Tae Hyun Bang,18,10,0,0,69,155,71,Switch,1983-04-15,37,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5
Antonio Banuelos,20,11,1,0,65,135,63,Orthodox,1979-09-23,41,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4
Renan Barao,34,9,0,0,66,145,70,Orthodox,1987-01-31,34,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5
Maycee Barber,8,2,0,0,65,125,65,Switch,1998-05-18,22,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2
Bryan Barberena,15,7,0,1,72,170,72,Southpaw,1989-05-03,31,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5
Edson Barboza,21,9,0,1,61,145,75,Orthodox,1986-01-21,35,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1
Raoni Barcelos,16,1,0,5,67,135,67,Orthodox,1987-05-01,33,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7
Luke Barnatt,13,4,0,0,78,185,77,Orthodox,1988-04-13,32,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4
Josh Barnett,35,8,0,1,75,250,78,Orthodox,1977-11-10,43,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4
Phil Baroni,15,18,0,0,69,170,72,Orthodox,1976-04-16,44,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5
Peter Barrett,11,5,0,0,61,145,73,Southpaw,1986-08-10,34,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0
Marc-Andre Barriault,11,4,0,0,73,185,74,Orthodox,1990-02-18,31,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0.0
Francimar Barroso,19,7,0,0,73,205,75,Orthodox,1980-02-28,40,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0
Pat Barry,8,7,0,0,61,235,74,Orthodox,1979-07-07,41,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2
Enrique Barzola,17,5,2,0,67,145,70,Orthodox,1989-04-28,31,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3
Batgerel Danaa,7,2,0,1,67,135,70,Orthodox,1989-07-04,31,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0
Alan Baudot,8,2,0,0,75,243,79,Orthodox,1988-02-01,33,1.89,0.25,10.11,0.36,0.0,0.0,0.0,0.0
Mario Bautista,8,1,0,2,69,135,69,Switch,1993-07-01,27,6.19,0.45,4.96,0.58,0.6,0.33,0.57,0.0
Chris Beal,10,5,0,0,67,125,69,Orthodox,1985-08-06,35,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2
Ariel Beck,4,5,0,0,66,125,66,Southpaw,1990-09-16,30,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0
Johnny Bedford,21,13,1,0,61,135,71,Orthodox,1983-01-06,38,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0
Chase Beebe,24,13,1,0,67,135,67,Orthodox,1985-03-29,35,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9
Mirsad Bektic,13,4,0,0,68,145,70,Orthodox,1991-02-16,30,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4
Diana Belbita,13,6,0,0,67,125,68,Orthodox,1996-06-26,24,5.81,0.39,6.49,0.52,1.69,0.66,0.64,0.0
Alan Belcher,18,8,0,0,74,185,75,Orthodox,1984-04-24,36,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9
Vitor Belfort,26,14,0,0,72,185,74,Southpaw,1977-04-01,43,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6
Danilo Belluardo,12,5,0,0,72,155,74,Southpaw,1994-07-21,26,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0
Joey Beltran,17,14,0,0,73,185,75,Orthodox,1981-12-08,39,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0
Marco Beltran,8,6,0,0,68,125,69,Orthodox,1986-05-18,34,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2
Joseph Benavidez,28,7,0,0,64,125,65,Southpaw,1984-07-31,36,3.54,0.34,2.62,0.62,1.48,0.3,0.65,0.6
Gabriel Benitez,22,9,0,1,68,155,71,Southpaw,1988-06-15,32,4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2
DeAnna Bennett,8,3,1,0,64,125,68,Orthodox,1984-11-18,36,3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0
Lance Benoist,7,2,0,1,61,170,72,Southpaw,1988-08-26,32,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0
Ryan Benoit,10,7,0,0,65,125,68,Orthodox,1989-08-25,31,2.95,0.41,3.4,0.6,0.33,0.25,0.7,0.5
Kenneth Bergh,8,0,0,0,74,205,74,Orthodox,1989-06-26,31,4.56,0.75,1.27,0.28,0.0,0.0,0.0,0.0
Dennis Bermudez,17,9,0,1,66,155,66,Orthodox,1986-12-13,34,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1
Manny Bermudez,14,2,0,0,61,145,71,Orthodox,1994-07-16,26,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1
Talita Bernardo,6,4,0,0,64,135,68,Orthodox,1987-03-04,33,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5
Matt Bessette,22,9,0,0,61,145,70,Orthodox,1984-12-28,36,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3
Khadzhi Bestaev,10,4,0,0,78,185,76,,1988-07-16,32,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0
Arjan Bhullar,9,1,0,2,73,245,75,Orthodox,1986-05-13,34,2.33,0.56,3.25,0.59,1.73,0.75,1.0,0.0
KB Bhullar,8,1,0,0,76,185,78,Switch,1991-10-12,29,1.18,0.13,10.0,0.37,0.0,0.0,0.0,0.0
Bibulatov Magomed,14,2,0,0,65,125,65,Orthodox,1988-08-22,32,3.6,0.51,1.83,0.52,2.85,0.4,0.75,0.0
David Bielkheden,24,12,0,0,61,155,71,Orthodox,1979-06-06,41,1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0
Anthony Birchak,16,7,0,0,68,135,69,Orthodox,1986-05-16,34,4.23,0.36,3.06,0.6,0.6,0.16,0.73,0.0
Michael Bisping,30,9,0,0,73,185,75,Orthodox,1979-02-28,41,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3
Jan Blachowicz,27,8,0,4,74,205,78,Orthodox,1983-02-24,38,3.49,0.48,2.74,0.54,1.1,0.52,0.65,0.2
Brad Blackburn,18,13,1,0,61,170,73,Orthodox,1977-05-25,43,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7
Sherrard Blackledge,5,1,0,0,61,155,75,Orthodox,1993-08-16,27,3.7,0.49,3.13,0.55,4.0,0.33,0.42,0.0
Maximo Blanco,12,8,1,0,68,145,71,Orthodox,1983-10-16,37,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3
Curtis Blaydes,14,3,0,0,76,265,80,Orthodox,1991-02-18,30,3.59,0.53,1.7,0.57,6.64,0.54,0.33,0.0
Mark Bocek,12,5,0,1,68,155,75,Orthodox,1981-10-24,39,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3
Kyle Bochniak,8,5,0,0,67,145,70,Orthodox,1987-02-05,34,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0
James Bochnovic,8,3,0,0,76,205,81,Orthodox,1989-02-13,32,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0
Tim Boetsch,21,13,0,0,72,185,74,Orthodox,1981-01-28,40,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8
Galore Bofando,5,3,0,0,61,170,72,Switch,1982-05-22,38,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0
Roman Bogatov,10,1,0,0,68,155,73,Orthodox,1990-12-15,30,3.33,0.42,4.4,0.44,1.0,0.09,0.5,0.0
Stephan Bonnar,15,9,0,0,76,205,79,Orthodox,1977-04-04,43,2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0
Rogerio Bontorin,16,2,0,0,65,125,67,Orthodox,1992-04-25,28,2.3,0.52,3.17,0.38,1.76,0.35,0.51,1.1
Ray Borg,13,5,0,0,64,135,63,Orthodox,1993-08-04,27,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0
Calen Born,7,1,0,0,68,170,72,Switch,1988-05-24,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Boser,19,7,1,0,74,255,75,Orthodox,1991-08-02,29,4.54,0.55,2.7,0.63,0.0,0.0,1.0,0.0
Steve Bosse,12,2,0,2,61,205,72,Orthodox,1981-07-29,39,5.99,0.52,5.38,0.5,0.92,0.33,1.0,0.0
Poliana Botelho,8,3,0,0,68,115,67,Orthodox,1988-12-15,32,3.0,0.56,3.08,0.5,0.89,1.0,0.8,0.0
Kyron Bowen,9,5,0,0,75,185,73,Orthodox,1993-12-22,27,2.73,0.57,2.05,0.4,0.0,0.0,0.0,0.0
Brian Bowles,10,3,0,0,67,135,70,Orthodox,1980-06-22,40,2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4
Roger Bowling,12,6,0,0,69,155,68,Orthodox,1982-12-05,38,3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9
Kyle Bradley,19,12,0,0,69,155,71,Orthodox,1982-08-19,38,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0.0
Sean Brady,13,0,0,3,61,170,72,Orthodox,1992-11-23,28,5.44,0.55,4.35,0.61,3.26,0.57,1.0,1.2
Ramiz Brahimaj,8,3,0,0,61,170,72,Orthodox,1992-11-17,28,3.73,0.36,6.14,0.55,0.0,0.0,1.0,0.0
David Branch,22,6,0,0,73,185,78,Orthodox,1981-09-26,39,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0
Diego Brandao,22,11,0,0,67,145,64,Orthodox,1987-05-27,33,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6
Martin Bravo,11,3,0,0,68,145,71,Southpaw,1993-09-21,27,7.66,0.39,5.72,0.51,2.6,0.35,0.85,0.0
Mike Breeden,8,3,0,0,61,155,70,Orthodox,1989-04-21,31,4.0,0.34,5.87,0.47,0.0,0.0,0.77,0.0
Tom Breese,12,3,0,0,75,185,73,Southpaw,1991-09-26,29,3.34,0.5,2.81,0.6,0.0,0.0,0.7,1.1
Charlie Brenneman,19,8,0,0,61,155,70,Orthodox,1981-02-09,40,1.52,0.56,1.55,0.46,4.23,0.42,0.72,0.0
Marcos Brigagao,11,1,0,0,75,205,76,Southpaw,1996-04-01,24,3.07,0.43,3.27,0.25,0.0,0.0,0.36,0.0
Jason Brilz,22,6,1,0,61,205,71,Orthodox,1975-07-07,45,2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3
Marcus Brimage,7,7,0,0,64,135,71,Southpaw,1985-04-06,35,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0
Henry Briones,16,8,1,0,68,135,69,Orthodox,1980-10-22,40,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6
Antwain Britt,11,6,0,0,73,205,77,,1978-05-09,42,1.46,0.39,2.81,0.44,1.56,0.4,0.5,0.0
Jonathan Brookins,16,10,0,0,72,145,74,Southpaw,1985-08-13,35,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3
Will Brooks,18,4,0,0,61,155,72,Orthodox,1986-10-08,34,4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3
Jarred Brooks,13,2,0,1,63,125,62,Switch,1993-05-02,27,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6
Rob Broughton,16,7,1,0,74,265,74,Orthodox,1983-03-03,37,2.83,0.6,2.54,0.51,0.0,0.0,0.26,3.2
Matt Brown,24,18,0,0,72,170,75,Orthodox,1981-01-10,40,3.69,0.54,2.67,0.55,1.56,0.44,0.63,1.4
Mike Brown,26,9,0,0,66,145,70,Orthodox,1975-09-08,45,2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6
Randy Brown,12,4,0,0,75,170,78,Orthodox,1990-07-08,30,3.67,0.47,2.8,0.53,1.0,0.46,0.71,0.6
Damien Brown,17,12,0,0,61,155,68,Orthodox,1984-12-25,36,3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7
TJ Brown,14,8,0,0,69,145,72,Switch,1990-05-22,30,3.22,0.42,2.21,0.5,4.92,0.6,0.4,0.4
Travis Browne,18,7,1,0,78,255,79,Orthodox,1982-07-17,38,2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2
Cody Brundage,5,1,0,0,72,205,72,Orthodox,1994-05-16,26,7.97,0.82,6.29,0.06,6.29,0.33,0.0,0.0
Derek Brunson,21,7,0,3,73,185,77,Southpaw,1984-01-04,37,3.77,0.47,2.95,0.54,3.02,0.31,1.0,0.4
Justin Buchholz,15,10,0,0,72,155,73,Orthodox,1983-08-22,37,2.35,0.26,4.14,0.51,0.0,0.0,0.33,0.8
Joaquin Buckley,12,4,0,0,61,185,76,Southpaw,1994-04-27,26,4.58,0.36,5.46,0.51,0.6,0.16,1.0,0.0
Julia Budd,10,2,0,0,67,145,67,,1983-07-04,37,2.42,0.74,1.18,0.47,3.6,0.57,0.83,0.0
Mike Budnik,13,4,0,0,69,145,68,Orthodox,1974-08-08,46,0.65,0.52,0.95,0.53,0.0,0.0,0.0,3.4
Mayra Bueno Silva,7,1,0,1,66,135,66,Orthodox,1991-08-22,29,4.44,0.53,6.74,0.44,0.0,0.0,0.71,1.9
