fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,avg_ctrl,weight_class
Melsik Baghdasaryan,5,1,0,1,69,145,70,Southpaw,1992-01-28,29,6.8,0.64,3.8,0.53,0.0,0.0,0.75,0.0,0,Featherweight
Siyar Bahadurzada,24,8,1,0,61,170,73,Orthodox,1984-04-17,36,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,117.5,Welterweight
Ignacio Bahamondes,11,3,0,1,75,170,75,Orthodox,1997-08-27,23,8.78,0.54,2.66,0.67,0.0,0.0,1.0,0.0,0,Welterweight
Shamar Bailey,16,11,0,0,69,155,75,Southpaw,1982-09-22,38,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,191.0,Lightweight
Oluwale Bamgbose,6,4,0,0,61,185,78,Switch,1987-08-04,33,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,28.2,Middleweight
Humberto Bandenay,14,7,0,0,61,145,71,Southpaw,1994-09-04,26,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,57.5,Featherweight
Tae Hyun Bang,18,10,0,0,69,155,71,Switch,1983-04-15,37,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,53.4,Lightweight
Antonio Banuelos,20,11,1,0,65,135,63,Orthodox,1979-09-23,41,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,1.0,Bantamweight
Renan Barao,34,9,0,0,66,145,70,Orthodox,1987-01-31,34,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,130.76,Featherweight
Maycee Barber,8,2,0,0,65,125,65,Switch,1998-05-18,22,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2,113.4,Flyweight
Bryan Barberena,15,7,0,1,72,170,72,Southpaw,1989-05-03,31,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,79.73,Welterweight
Edson Barboza,21,9,0,1,61,145,75,Orthodox,1986-01-21,35,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,42.96,Featherweight
Raoni Barcelos,16,1,0,5,67,135,67,Orthodox,1987-05-01,33,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7,207.0,Bantamweight
Luke Barnatt,13,4,0,0,78,185,77,Orthodox,1988-04-13,32,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,22.17,Middleweight
Josh Barnett,35,8,0,1,75,250,78,Orthodox,1977-11-10,43,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,173.9,Heavyweight
Phil Baroni,15,18,0,0,69,170,72,Orthodox,1976-04-16,44,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,146.9,Welterweight
Peter Barrett,11,5,0,0,61,145,73,Southpaw,1986-08-10,34,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0,79.5,Featherweight
Marc-Andre Barriault,11,4,0,0,73,185,74,Orthodox,1990-02-18,31,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0.0,49.33,Middleweight
Francimar Barroso,19,7,0,0,73,205,75,Orthodox,1980-02-28,40,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,168.38,Light Heavyweight
Pat Barry,8,7,0,0,61,235,74,Orthodox,1979-07-07,41,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,32.42,Heavyweight
Enrique Barzola,17,5,2,0,67,145,70,Orthodox,1989-04-28,31,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,252.0,Featherweight
Batgerel Danaa,7,2,0,1,67,135,70,Orthodox,1989-07-04,31,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0,4.5,Bantamweight
Alan Baudot,8,2,0,0,75,243,79,Orthodox,1988-02-01,33,1.89,0.25,10.11,0.36,0.0,0.0,0.0,0.0,0.0,Heavyweight
Mario Bautista,8,1,0,2,69,135,69,Switch,1993-07-01,27,6.19,0.45,4.96,0.58,0.6,0.33,0.57,0.0,37.67,Bantamweight
Chris Beal,10,5,0,0,67,125,69,Orthodox,1985-08-06,35,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,194.6,Flyweight
Ariel Beck,4,5,0,0,66,125,66,Southpaw,1990-09-16,30,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,9.0,Flyweight
Johnny Bedford,21,13,1,0,61,135,71,Orthodox,1983-01-06,38,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,210.6,Bantamweight
Chase Beebe,24,13,1,0,67,135,67,Orthodox,1985-03-29,35,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,0,Bantamweight
Mirsad Bektic,13,4,0,0,68,145,70,Orthodox,1991-02-16,30,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,363.9,Featherweight
Diana Belbita,13,6,0,0,67,125,68,Orthodox,1996-06-26,24,5.81,0.39,6.49,0.52,1.69,0.66,0.64,0.0,90.0,Flyweight
Alan Belcher,18,8,0,0,74,185,75,Orthodox,1984-04-24,36,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,105.13,Middleweight
Vitor Belfort,26,14,0,0,72,185,74,Southpaw,1977-04-01,43,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,19.08,Middleweight
Danilo Belluardo,12,5,0,0,72,155,74,Southpaw,1994-07-21,26,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0,131.0,Lightweight
Joey Beltran,17,14,0,0,73,185,75,Orthodox,1981-12-08,39,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0,169.22,Middleweight
Marco Beltran,8,6,0,0,68,125,69,Orthodox,1986-05-18,34,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,83.33,Flyweight
Joseph Benavidez,28,7,0,0,64,125,65,Southpaw,1984-07-31,36,3.54,0.34,2.62,0.62,1.48,0.3,0.65,0.6,123.05,Flyweight
Gabriel Benitez,22,9,0,1,68,155,71,Southpaw,1988-06-15,32,4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2,20.0,Lightweight
DeAnna Bennett,8,3,1,0,64,125,68,Orthodox,1984-11-18,36,3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0,0,Flyweight
Lance Benoist,7,2,0,1,61,170,72,Southpaw,1988-08-26,32,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,287.75,Welterweight
Ryan Benoit,10,7,0,0,65,125,68,Orthodox,1989-08-25,31,2.95,0.41,3.4,0.6,0.33,0.25,0.7,0.5,36.0,Flyweight
Kenneth Bergh,8,0,0,0,74,205,74,Orthodox,1989-06-26,31,4.56,0.75,1.27,0.28,0.0,0.0,0.0,0.0,0,Light Heavyweight
Dennis Bermudez,17,9,0,1,66,155,66,Orthodox,1986-12-13,34,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,252.35,Lightweight
Manny Bermudez,14,2,0,0,61,145,71,Orthodox,1994-07-16,26,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,147.2,Featherweight
Talita Bernardo,6,4,0,0,64,135,68,Orthodox,1987-03-04,33,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,294.5,Bantamweight
Matt Bessette,22,9,0,0,61,145,70,Orthodox,1984-12-28,36,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3,46.0,Featherweight
Khadzhi Bestaev,10,4,0,0,78,185,76,,1988-07-16,32,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0,0,Middleweight
Arjan Bhullar,9,1,0,2,73,245,75,Orthodox,1986-05-13,34,2.33,0.56,3.25,0.59,1.73,0.75,1.0,0.0,324.5,Heavyweight
KB Bhullar,8,1,0,0,76,185,78,Switch,1991-10-12,29,1.18,0.13,10.0,0.37,0.0,0.0,0.0,0.0,0.0,Middleweight
Bibulatov Magomed,14,2,0,0,65,125,65,Orthodox,1988-08-22,32,3.6,0.51,1.83,0.52,2.85,0.4,0.75,0.0,200.0,Flyweight
David Bielkheden,24,12,0,0,61,155,71,Orthodox,1979-06-06,41,1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0,205.33,Lightweight
Anthony Birchak,16,7,0,0,68,135,69,Orthodox,1986-05-16,34,4.23,0.36,3.06,0.6,0.6,0.16,0.73,0.0,39.2,Bantamweight
Michael Bisping,30,9,0,0,73,185,75,Orthodox,1979-02-28,41,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,68.72,Middleweight
Jan Blachowicz,27,8,0,4,74,205,78,Orthodox,1983-02-24,38,3.49,0.48,2.74,0.54,1.1,0.52,0.65,0.2,96.33,Light Heavyweight
Brad Blackburn,18,13,1,0,61,170,73,Orthodox,1977-05-25,43,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,117.2,Welterweight
Sherrard Blackledge,5,1,0,0,61,155,75,Orthodox,1993-08-16,27,3.7,0.49,3.13,0.55,4.0,0.33,0.42,0.0,0,Lightweight
Maximo Blanco,12,8,1,0,68,145,71,Orthodox,1983-10-16,37,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,87.0,Featherweight
Curtis Blaydes,14,3,0,0,76,265,80,Orthodox,1991-02-18,30,3.59,0.53,1.7,0.57,6.64,0.54,0.33,0.0,343.17,Heavyweight
Mark Bocek,12,5,0,1,68,155,75,Orthodox,1981-10-24,39,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,373.08,Lightweight
Kyle Bochniak,8,5,0,0,67,145,70,Orthodox,1987-02-05,34,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0,102.86,Featherweight
James Bochnovic,8,3,0,0,76,205,81,Orthodox,1989-02-13,32,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0,33.5,Light Heavyweight
Tim Boetsch,21,13,0,0,72,185,74,Orthodox,1981-01-28,40,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,78.75,Middleweight
Galore Bofando,5,3,0,0,61,170,72,Switch,1982-05-22,38,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0,1.5,Welterweight
Roman Bogatov,10,1,0,0,68,155,73,Orthodox,1990-12-15,30,3.33,0.42,4.4,0.44,1.0,0.09,0.5,0.0,367.0,Lightweight
Stephan Bonnar,15,9,0,0,76,205,79,Orthodox,1977-04-04,43,2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0,237.93,Light Heavyweight
Rogerio Bontorin,16,2,0,0,65,125,67,Orthodox,1992-04-25,28,2.3,0.52,3.17,0.38,1.76,0.35,0.51,1.1,120.0,Flyweight
Ray Borg,13,5,0,0,64,135,63,Orthodox,1993-08-04,27,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0,393.75,Bantamweight
Calen Born,7,1,0,0,68,170,72,Switch,1988-05-24,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Welterweight
Tanner Boser,19,7,1,0,74,255,75,Orthodox,1991-08-02,29,4.54,0.55,2.7,0.63,0.0,0.0,1.0,0.0,1.4,Heavyweight
Steve Bosse,12,2,0,2,61,205,72,Orthodox,1981-07-29,39,5.99,0.52,5.38,0.5,0.92,0.33,1.0,0.0,54.33,Light Heavyweight
Poliana Botelho,8,3,0,0,68,115,67,Orthodox,1988-12-15,32,3.0,0.56,3.08,0.5,0.89,1.0,0.8,0.0,110.2,Strawweight
Kyron Bowen,9,5,0,0,75,185,73,Orthodox,1993-12-22,27,2.73,0.57,2.05,0.4,0.0,0.0,0.0,0.0,0,Middleweight
Brian Bowles,10,3,0,0,67,135,70,Orthodox,1980-06-22,40,2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4,106.5,Bantamweight
Roger Bowling,12,6,0,0,69,155,68,Orthodox,1982-12-05,38,3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9,48.0,Lightweight
Kyle Bradley,19,12,0,0,69,155,71,Orthodox,1982-08-19,38,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0.0,8.75,Lightweight
Sean Brady,13,0,0,3,61,170,72,Orthodox,1992-11-23,28,5.44,0.55,4.35,0.61,3.26,0.57,1.0,1.2,216.0,Welterweight
Ramiz Brahimaj,8,3,0,0,61,170,72,Orthodox,1992-11-17,28,3.73,0.36,6.14,0.55,0.0,0.0,1.0,0.0,13.0,Welterweight
David Branch,22,6,0,0,73,185,78,Orthodox,1981-09-26,39,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0,228.89,Middleweight
Diego Brandao,22,11,0,0,67,145,64,Orthodox,1987-05-27,33,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,118.3,Featherweight
