,fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,avg_ctrl
50,Omari Akhmedov,21,5,1,1,72,185,73,Orthodox,1987-10-12,33,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,164.69230769230768
51,Yoshihiro Akiyama,14,6,0,0,61,170,75,Orthodox,1975-07-29,45,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,190.0
52,Rostem Akman,6,2,0,0,61,170,72,Switch,1991-12-19,29,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,101.5
53,Mostapha Al-Turk,6,6,0,0,74,245,77,Orthodox,1973-07-14,47,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,32.333333333333336
54,Herdem Alacabek,5,1,0,0,74,205,75,Orthodox,1991-06-07,29,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,0
55,Heili Alateng,14,8,1,0,65,135,66,Orthodox,1991-12-14,29,2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,123.66666666666667
56,Amir Albazi,14,1,0,2,65,125,68,Orthodox,1993-10-27,27,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,179.5
57,John Albert,6,5,0,0,68,135,68,Orthodox,1986-10-13,34,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,41.4
58,Junior Albini,14,6,0,0,75,264,74,Orthodox,1991-03-15,29,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,89.6
59,Aleksandra Albu,3,2,0,0,62,115,63,Orthodox,1990-07-14,30,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,95.5
60,Iuri Alcantara,35,10,0,0,69,135,71,Southpaw,1980-08-04,40,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,93.88235294117646
61,Ildemar Alcantara,21,11,0,0,74,185,78,Orthodox,1982-11-18,38,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,140.71428571428572
62,Irene Aldana,12,6,0,0,69,135,68,Orthodox,1988-03-26,32,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,12.333333333333334
63,Hector Aldana,4,3,0,0,61,170,72,Orthodox,1988-08-17,32,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,21.0
64,Jose Aldo,29,7,0,1,67,135,70,Orthodox,1986-09-09,34,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,117.05882352941177
65,JJ Aldrich,8,4,0,0,65,125,67,Southpaw,1992-09-29,28,3.88,0.4,4.68,0.62,0.31,0.25,0.53,0.0,95.57142857142857
66,Jim Alers,13,3,0,0,69,145,71,Orthodox,1986-10-14,34,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,227.66666666666666
67,John Alessio,35,17,0,0,61,155,72,Orthodox,1979-07-05,41,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,77.8
68,Houston Alexander,17,15,1,0,72,205,72,Orthodox,1972-03-22,48,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,18.5
69,Marcio Alexandre Junior,17,4,0,1,72,185,75,Southpaw,1989-05-05,31,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,38.666666666666664
70,Bill Algeo,14,5,0,1,72,145,73,Switch,1989-06-09,31,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,167.5
71,Sultan Aliev,15,3,0,1,61,170,74,Orthodox,1984-09-17,36,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,261.75
72,John Allan,13,6,0,0,73,205,75,Orthodox,1993-02-22,27,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,15.0
73,Arnold Allen,16,1,0,7,68,145,70,Southpaw,1994-01-22,27,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,131.57142857142858
74,Brendan Allen,15,4,0,0,74,185,75,Orthodox,1995-12-28,25,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,191.0
75,Ben Alloway,18,8,0,0,61,170,76,Orthodox,1981-02-19,39,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,38.666666666666664
76,Ricardo Almeida,13,5,0,0,72,170,74,Orthodox,1976-11-29,44,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,290.72727272727275
77,Thomas Almeida,22,4,0,0,67,145,70,Southpaw,1991-07-31,29,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,4.111111111111111
78,Sarah Alpar,9,5,0,0,64,135,63,Southpaw,1991-06-01,29,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,208.0
79,Ali AlQaisi,8,5,0,0,66,135,68,Orthodox,1990-09-23,30,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,237.5
80,Eddie Alvarez,29,6,0,0,69,155,69,Orthodox,1984-01-11,37,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,138.14285714285714
81,Jaime Alvarez,6,1,0,1,68,125,69,Orthodox,1988-03-08,32,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,0
82,Joel Alvarez,18,2,0,3,75,155,77,Orthodox,1994-03-02,26,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6,4.25
83,Thiago Alves,23,15,0,0,69,170,70,Orthodox,1983-10-03,37,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,68.55555555555556
84,Warlley Alves,15,4,0,1,61,170,72,Orthodox,1991-01-04,30,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,159.83333333333334
85,Rafael Alves,19,9,0,1,68,145,68,Orthodox,1990-10-11,30,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9,0
86,Sam Alvey,33,14,1,0,74,205,75,Southpaw,1986-05-06,34,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,34.31578947368421
87,Adlan Amagov,14,2,1,3,74,170,76,Orthodox,1986-10-30,34,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,137.0
88,Alen Amedovski,8,2,0,0,61,185,74,Orthodox,1988-04-06,32,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,6.5
89,Makwan Amirkhani,16,5,0,0,61,145,72,Southpaw,1988-11-08,32,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,190.88888888888889
90,Eryk Anders,13,5,0,0,73,185,75,Southpaw,1987-04-21,33,3.02,0.45,4.18,0.51,1.34,0.34,0.8,0.1,158.9
91,Corey Anderson,14,5,0,0,75,205,79,Orthodox,1989-09-22,31,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,267.73333333333335
92,Megan Anderson,11,4,0,2,72,145,72,Orthodox,1990-02-11,30,1.82,0.46,2.94,0.38,0.56,0.33,0.53,0.6,43.8
93,Jessica Andrade,21,8,0,1,61,115,62,Orthodox,1991-09-25,29,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,183.16666666666666
94,Viscardi Andrade,19,6,0,2,61,170,75,Orthodox,1984-03-08,36,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,147.25
95,Dylan Andrews,18,7,0,0,73,185,74,Switch,1979-11-15,41,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,69.4
96,Collin Anglin,8,1,0,1,69,145,71,Orthodox,1993-02-20,27,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0,0
97,Magomed Ankalaev,14,1,0,5,75,205,75,Orthodox,1992-06-02,28,3.58,0.56,1.36,0.68,0.62,0.33,0.85,0.0,181.83333333333334
98,Nina Ansaroff,10,6,0,0,65,115,64,Orthodox,1985-12-03,35,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,124.28571428571429
99,Gadzhimurad Antigulov,20,8,0,0,61,205,70,Orthodox,1987-02-09,33,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,101.5
100,Adam Antolin,12,3,0,1,65,125,63,Orthodox,1982-02-28,38,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,0
101,Shinsho Anzai,10,3,0,0,67,170,70,Orthodox,1985-12-01,35,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,184.75
102,Felipe Arantes,18,10,1,0,68,135,73,Orthodox,1988-02-09,32,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,128.8181818181818
103,Igor Araujo,25,9,0,0,73,170,77,Orthodox,1980-12-06,40,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,247.25
104,Viviane Araujo,10,2,0,2,64,125,68,Orthodox,1986-11-21,34,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2,87.6
105,Julio Arce,16,4,0,0,67,145,70,Southpaw,1989-10-27,31,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,88.8
106,Andrei Arlovski,30,19,0,2,75,240,77,Orthodox,1979-02-04,41,3.48,0.44,2.77,0.58,0.48,0.36,0.79,0.3,49.5
107,Austin Arnett,16,6,0,0,72,145,72,Orthodox,1991-10-22,29,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,106.5
108,Akbarh Arreola,23,11,1,0,61,155,71,Southpaw,1983-01-14,38,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,43.5
109,Matt Arroyo,3,3,0,0,61,170,72,Orthodox,1982-09-01,38,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,104.33333333333333
110,Antonio Arroyo,9,4,0,0,75,185,73,Orthodox,1989-07-01,31,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3,165.5
111,Teddy Ash,14,5,0,0,73,185,73,Switch,1989-12-27,31,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,0
112,Askar Askarov,12,0,1,2,66,125,67,Orthodox,1992-10-09,28,3.2,0.52,2.51,0.55,2.0,0.18,0.64,0.0,278.0
113,Cyril Asker,9,4,0,0,72,247,74,Orthodox,1985-12-24,35,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,98.4
114,Scott Askham,14,4,0,0,75,185,75,Southpaw,1988-05-20,32,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,78.5
115,Ben Askren,19,2,0,0,61,170,73,Orthodox,1984-07-18,36,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,77.66666666666667
116,Tom Aspinall,9,2,0,2,77,256,78,Orthodox,1993-04-11,27,11.14,0.74,2.57,0.71,6.43,1.0,0.0,0.0,16.0
117,Junior Assuncao,16,6,0,0,69,145,72,Orthodox,1981-06-24,39,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,238.4
118,Raphael Assuncao,27,8,0,0,65,135,66,Orthodox,1982-07-19,38,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3,77.875
119,Rich Attonito,10,5,0,0,61,170,72,Orthodox,1977-06-16,43,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,185.4
120,Olivier Aubin-Mercier,11,5,0,0,69,155,70,Southpaw,1989-02-23,31,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,217.75
121,Marcus Aurelio,22,10,0,0,61,155,74,Orthodox,1973-08-18,47,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,90.16666666666667
122,Blas Avena,8,7,0,0,72,170,74,Orthodox,1983-06-30,37,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,0
123,Julia Avila,8,2,0,0,67,135,68,Orthodox,1988-05-11,32,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0.0,155.0
124,Jessin Ayari,16,6,0,0,72,155,73,Orthodox,1992-05-31,28,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,15.75
125,Abu Azaitar,14,1,1,1,69,185,76,Orthodox,1986-03-10,34,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0,198.0
126,Ottman Azaitar,13,0,0,2,68,155,71,Switch,1990-02-20,30,8.43,0.57,1.76,0.67,0.0,0.0,1.0,0.0,8.5
127,Hunter Azure,9,1,0,1,68,145,69,Orthodox,1992-03-02,28,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4,177.33333333333334
128,Seth Baczynski,20,14,0,0,75,170,75,Orthodox,1981-10-26,39,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,115.63636363636364
129,Ryan Bader,23,5,0,2,74,205,74,Orthodox,1983-06-07,37,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,229.5
130,Miguel Baeza,10,0,0,4,74,170,74,Orthodox,1992-08-23,28,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,42.0
131,Ali Bagautinov,15,6,0,0,64,125,65,Orthodox,1985-06-10,35,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,272.42857142857144
132,Melsik Baghdasaryan,5,1,0,1,69,145,70,Southpaw,1992-01-28,29,6.8,0.64,3.8,0.53,0.0,0.0,0.75,0.0,0
133,Siyar Bahadurzada,24,8,1,0,61,170,73,Orthodox,1984-04-17,36,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,117.5
134,Ignacio Bahamondes,11,3,0,1,75,170,75,Orthodox,1997-08-27,23,8.78,0.54,2.66,0.67,0.0,0.0,1.0,0.0,0
135,Shamar Bailey,16,11,0,0,69,155,75,Southpaw,1982-09-22,38,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,191.0
136,Oluwale Bamgbose,6,4,0,0,61,185,78,Switch,1987-08-04,33,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,28.2
137,Humberto Bandenay,14,7,0,0,61,145,71,Southpaw,1994-09-04,26,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,57.5
138,Tae Hyun Bang,18,10,0,0,69,155,71,Switch,1983-04-15,37,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,53.4
139,Antonio Banuelos,20,11,1,0,65,135,63,Orthodox,1979-09-23,41,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,1.0
140,Renan Barao,34,9,0,0,66,145,70,Orthodox,1987-01-31,33,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,130.76470588235293
141,Maycee Barber,8,1,0,0,65,125,65,Switch,1998-05-18,22,6.02,0.6,3.15,0.49,0.95,0.3,0.8,0.3,93.25
142,Bryan Barberena,15,7,0,1,72,170,72,Southpaw,1989-05-03,31,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,79.72727272727273
143,Edson Barboza,21,9,0,1,61,145,75,Orthodox,1986-01-21,35,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,42.958333333333336
144,Raoni Barcelos,16,1,0,5,67,135,67,Orthodox,1987-05-01,33,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7,207.0
145,Luke Barnatt,13,4,0,0,78,185,77,Orthodox,1988-04-13,32,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,22.166666666666668
146,Josh Barnett,35,8,0,1,75,250,78,Orthodox,1977-11-10,43,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,173.9
147,Phil Baroni,15,18,0,0,69,170,72,Orthodox,1976-04-16,44,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,146.9
148,Peter Barrett,11,5,0,0,61,145,73,Southpaw,1986-08-10,34,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0,79.5
149,Marc-Andre Barriault,11,4,0,0,73,185,74,Orthodox,1990-02-18,30,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0.0,49.333333333333336
150,Francimar Barroso,19,7,0,0,73,205,75,Orthodox,1980-02-28,40,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,168.375
151,Pat Barry,8,7,0,0,61,235,74,Orthodox,1979-07-07,41,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,32.416666666666664
152,Enrique Barzola,17,5,2,0,67,145,70,Orthodox,1989-04-28,31,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,252.0
153,Batgerel Danaa,7,2,0,1,67,135,70,Orthodox,1989-07-04,31,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0,4.5
154,Alan Baudot,8,2,0,0,75,243,79,Orthodox,1988-02-01,32,1.89,0.25,10.11,0.36,0.0,0.0,0.0,0.0,0.0
155,Mario Bautista,8,1,0,2,69,135,69,Switch,1993-07-01,27,6.19,0.45,4.96,0.58,0.6,0.33,0.57,0.0,37.666666666666664
156,Chris Beal,10,5,0,0,67,125,69,Orthodox,1985-08-06,35,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,194.6
157,Ariel Beck,4,5,0,0,66,125,66,Southpaw,1990-09-16,30,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,9.0
158,Johnny Bedford,21,13,1,0,61,135,71,Orthodox,1983-01-06,38,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,210.6
159,Chase Beebe,24,13,1,0,67,135,67,Orthodox,1985-03-29,35,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,0
160,Mirsad Bektic,13,4,0,0,68,145,70,Orthodox,1991-02-16,29,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,363.9
161,Diana Belbita,13,6,0,0,67,125,68,Orthodox,1996-06-26,24,5.81,0.39,6.49,0.52,1.69,0.66,0.64,0.0,90.0
162,Alan Belcher,18,8,0,0,74,185,75,Orthodox,1984-04-24,36,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,105.13333333333334
163,Vitor Belfort,26,14,0,0,72,185,74,Southpaw,1977-04-01,43,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,
164,Danilo Belluardo,12,5,0,0,72,155,74,Southpaw,1994-07-21,26,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0,131.0
165,Joey Beltran,17,14,0,0,73,185,75,Orthodox,1981-12-08,39,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0,169.22222222222223
166,Marco Beltran,8,6,0,0,68,125,69,Orthodox,1986-05-18,34,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,83.33333333333333
167,Joseph Benavidez,28,7,0,0,64,125,65,Southpaw,1984-07-31,36,3.54,0.34,2.62,0.62,1.48,0.3,0.65,0.6,123.05
168,Gabriel Benitez,22,9,0,1,68,155,71,Southpaw,1988-06-15,32,4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2,20.0
169,DeAnna Bennett,8,3,1,0,64,125,68,Orthodox,1984-11-18,36,3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0,0
170,Lance Benoist,7,2,0,1,61,170,72,Southpaw,1988-08-26,32,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,287.75
171,Ryan Benoit,10,7,0,0,65,125,68,Orthodox,1989-08-25,31,2.95,0.41,3.4,0.6,0.33,0.25,0.7,0.5,36.0
172,Kenneth Bergh,8,0,0,0,74,205,74,Orthodox,1989-06-26,31,4.56,0.75,1.27,0.28,0.0,0.0,0.0,0.0,0
173,Dennis Bermudez,17,9,0,1,66,155,66,Orthodox,1986-12-13,34,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,252.35294117647058
174,Manny Bermudez,14,2,0,0,61,145,71,Orthodox,1994-07-16,26,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,147.2
175,Talita Bernardo,6,4,0,0,64,135,68,Orthodox,1987-03-04,33,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,294.5
176,Matt Bessette,22,9,0,0,61,145,70,Orthodox,1984-12-28,36,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3,46.0
177,Khadzhi Bestaev,10,4,0,0,78,185,76,,1988-07-16,32,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0,0
178,Arjan Bhullar,9,1,0,2,73,245,75,Orthodox,1986-05-13,34,2.33,0.56,3.25,0.59,1.73,0.75,1.0,0.0,324.5
